"","event_number","event_number_niskin","ship","cruise","datetime","latitude","longitude","depth","replicate","nitrate","ammonium","silicate","phosphate","iode_quality_flag_phosphate"
"1","MVCO_003","MVCO_003_00",NA,NA,2003-05-29 14:45:00,41.325,-70.5667,0,"a",0.648,13.53,1.845,0.407,1
"2","MVCO_017","MVCO_017_04",NA,NA,2003-11-18 14:00:00,41.325,-70.5667,12,"b",1.426,6.093,4.052,0.951,1
"3","MVCO_017","MVCO_017_01",NA,NA,2003-11-18 14:00:00,41.325,-70.5667,0,"a",1.201,14.382,2.59,1.449,1
"4","MVCO_045","MVCO_045_00",NA,NA,2006-02-16 21:00:00,41.325,-70.5667,0,"b",1.816,7.2,8.605,0.571,1
"5","MVCO_059","MVCO_059_00",NA,NA,2006-12-18 20:00:00,41.325,-70.5667,0,"a",6.07,5.02,3.6,0.219,1
"6","MVCO_059","MVCO_059_00",NA,NA,2006-12-18 20:00:00,41.325,-70.5667,0,"b",5.91,5.09,3.18,0.073,1
"7","MVCO_091","MVCO_091_03",NA,NA,2007-08-25 18:49:00,41.3254,-70.509,3.8,"b",0.157,6.467,3.851,0.249,1
"8","MVCO_093","MVCO_093_01",NA,NA,2007-09-13 21:11:00,41.3247,-70.5658,14,"a",0.154,8.505,5.548,0.381,1
"9","MVCO_148","MVCO_148_01",NA,NA,2008-06-27 15:18:00,41.2555,-70.5663,24.9,"a",0.65,5.48,20.425,0.49,1
"10","MVCO_166","MVCO_166_04",NA,NA,2008-09-11 13:30:00,41.335,-70.555,2,"b",0.26,5.242,1.768,0.407,1
"11","MVCO_167","MVCO_167_01",NA,NA,2008-09-11 17:08:00,41.2533,-70.5667,25.7,"a",0.256,8.805,5.116,0.21,1
"12","MVCO_177","MVCO_177_04",NA,NA,2008-10-24 18:36:00,41.325,-70.565,3,"b",0.073,6.508,1.878,0.227,1
"13","MVCO_178","MVCO_178_01",NA,NA,2008-11-03 18:44:00,41.325,-70.5667,14,"b",0.924,5.847,1.7,0.191,1
"14","MVCO_180","MVCO_180_03",NA,NA,2008-11-13 14:19:00,41.1433,-70.5683,12,"a",2.173,12.53,5.342,0.542,1
"15","MVCO_180","MVCO_180_04",NA,NA,2008-11-13 14:19:00,41.1433,-70.5683,2,"b",2.463,11.364,5.1,0.578,1
"16","MVCO_181","MVCO_181_01",NA,NA,2008-11-13 14:43:00,41.1983,-70.5667,34,"b",0.527,5.255,3.988,0.343,1
"17","MVCO_188","MVCO_188_00",NA,NA,2008-12-14 16:30:00,41.325,-70.5667,0,"a",0.051,5.98,6.429,0.128,1
"18","MVCO_189","MVCO_189_00",NA,NA,2009-01-06 19:30:00,41.325,-70.5667,0,"b",0,6.198,5.023,0.237,1
"19","MVCO_206","MVCO_206_02",NA,NA,2009-04-27 21:26:00,41.3267,-70.45,5,"a",0,5.16,3.677,0.206,1
"20","MVCO_207","MVCO_207_00",NA,NA,2009-05-12 16:55:00,41.325,-70.5667,0,"b",0,5.473,9.266,0.518,1
"21","MVCO_210","MVCO_210_04",NA,NA,2009-06-04 15:07:00,41.2533,-70.5667,2,"b",0,5.728,1.176,0.054,1
"22","MVCO_219","MVCO_219_03",NA,NA,2009-08-12 13:19:00,41.325,-70.447,2,"b",0.399,5.406,1.722,0.173,1
"23","MVCO_224","MVCO_224_01",NA,NA,2009-08-12 17:30:00,41.263,-70.568,25,"a",0.346,6.945,15.42,0.404,1
"24","MVCO_224","MVCO_224_01",NA,NA,2009-08-12 17:30:00,41.263,-70.568,25,"b",0.279,5.934,14.519,0.347,1
"25","MVCO_225","MVCO_225_01",NA,NA,2009-08-12 18:10:00,41.198,-70.567,32,"a",0.693,6.059,15.019,0.292,1
"26","MVCO_225","MVCO_225_01",NA,NA,2009-08-12 18:10:00,41.198,-70.567,32,"b",0.909,6.473,16.121,0.468,1
"27","MVCO_226","MVCO_226_01",NA,NA,2009-08-12 18:45:00,41.143,-70.567,39,"a",2.513,6.887,23.731,0.427,1
"28","MVCO_226","MVCO_226_01",NA,NA,2009-08-12 18:45:00,41.143,-70.567,39,"b",1.769,5.635,16.021,0.269,1
"29","MVCO_229","MVCO_229_00",NA,NA,2009-10-02 16:10:00,41.325,-70.5667,0,"a",0,5.49,15.22,0.138,1
"30","MVCO_229","MVCO_229_00",NA,NA,2009-10-02 16:10:00,41.325,-70.5667,0,"b",0.064,5.49,15.12,0.147,1
"31","MVCO_297","MVCO_297_04",NA,NA,2012-07-10 15:57:00,41.325,-70.565,2,"b",0.505,5.994,3.484,0,1
"32","MVCO_298","MVCO_298_01",NA,NA,2012-07-10 16:53:00,41.325,-70.5633,15,"a",0.829,6.111,3.483,0,1
"33","MVCO_382","MVCO_382_03",NA,NA,2017-06-26 16:45:00,41.325,-70.5657,6,"b",0,12.867,2.95,0.139,1
